    7900    30.113256   -833671.07     -10863.4   -10711.421    -10768.38 
    8000    29.970871   -833718.27   -10964.357       -10792   -10841.353 
    8100    30.008093   -833767.26   -11031.755   -10882.516   -10948.847 
    8200     29.89982    -833814.7   -11143.894   -10969.444   -11013.869 
    8300    29.760402   -833863.57    -11223.66   -11052.232   -11085.566 
    8400    29.627076   -833908.89   -11307.998   -11156.357   -11171.208 
    8500     29.53761   -833955.08   -11376.063   -11209.238   -11243.608 
    8600    29.499113   -833999.64   -11449.637   -11331.599   -11326.225 
    8700    29.374535   -834042.75   -11512.579   -11390.819   -11406.472 
    8800    29.259101    -834088.4   -11578.245   -11446.809    -11491.31 
    8900    29.039034   -834133.69   -11642.947   -11541.702    -11575.79 
    9000    28.973935    -834182.5    -11754.19   -11665.889    -11680.02 
    9100    28.933459   -834227.99   -11822.923   -11732.633   -11737.945 
    9200    28.790484   -834268.06   -11871.617   -11768.017   -11797.314 
    9300    28.643638   -834309.36   -11971.662    -11846.83   -11882.831 
    9400    28.463543   -834356.27   -12063.552   -11904.463   -11967.127 
    9500    28.497668   -834403.28   -12116.891    -12045.12   -12054.309 
    9600    28.379014   -834450.97    -12228.11   -12117.991   -12132.936 
    9700    28.189253   -834494.49   -12260.493    -12143.11   -12201.098 
    9800    28.030217   -834541.51   -12372.938   -12227.534   -12273.354 
    9900    28.002234   -834581.66   -12479.781   -12289.245    -12309.84 
   10000    27.899883    -834628.9   -12536.789   -12404.381   -12421.687 
   10100    27.766081    -834675.1   -12613.415    -12435.13   -12483.161 
   10200    27.598521   -834712.92   -12683.393    -12531.28   -12556.383 
   10300    27.426749   -834751.82   -12765.322   -12585.164   -12577.061 
   10400    27.387501   -834791.13   -12805.265   -12680.224   -12636.278 
   10500    27.317684   -834834.59   -12902.825   -12722.548   -12743.315 
   10600    27.125738   -834873.92   -12948.403   -12810.845   -12812.616 
   10700    26.866413   -834910.62   -12999.753   -12833.995   -12864.707 
   10800    26.845088   -834952.01   -13093.662   -12930.757   -12936.807 
   10900    26.618839   -834990.45   -13157.357   -12990.513   -12984.115 
   11000    26.463255   -835024.97   -13180.645   -13027.856   -13029.553 
   11100    26.303223   -835060.01   -13228.342   -13083.677   -13085.724 
   11200    26.118867   -835097.89   -13319.988   -13133.392   -13125.741 
   11300    26.066875   -835135.67   -13360.056   -13187.171   -13190.092 
   11400    25.991298   -835170.15   -13438.461   -13248.415   -13267.976 
   11500    25.899849   -835208.09   -13516.949   -13323.952   -13331.577 
   11600    25.750961   -835241.68   -13563.535   -13368.952   -13384.885 
   11700    25.589659   -835280.33   -13598.751   -13445.351   -13454.575 
   11800    25.524762   -835317.57   -13687.262   -13534.009   -13531.898 
   11900    25.331011   -835356.13   -13743.426   -13582.856   -13575.087 
   12000    25.230346   -835395.02   -13814.136   -13642.931   -13672.102 
   12100    25.157423   -835429.04   -13844.581   -13738.769   -13693.511 
   12200    25.191913   -835463.11    -13911.12   -13775.476   -13749.963 
   12300    25.054036   -835500.92   -13956.177   -13833.978   -13840.774 
   12400    24.947411   -835538.04   -14009.598   -13903.262   -13901.417 
   12500    24.848393   -835576.43   -14125.442   -13988.139   -13956.761 
   12600    24.716243   -835613.05   -14177.944   -14036.645    -13985.13 
   12700    24.636986   -835650.42   -14225.195   -14115.196   -14096.134 
   12800    24.566545   -835686.77   -14253.551   -14183.483   -14123.804 
   12900    24.381471   -835719.68   -14361.858   -14240.003   -14190.942 
   13000    24.261783   -835754.77   -14410.839   -14290.212   -14261.659 
   13100    24.201736   -835790.49   -14460.533   -14324.268   -14327.886 
   13200    24.001713    -835824.8   -14500.994    -14409.53   -14362.357 
   13300    23.926057   -835858.86   -14577.396   -14452.046   -14421.046 
   13400    23.713881   -835889.51   -14640.153   -14530.611    -14474.21 
   13500    23.615234   -835919.81   -14667.061   -14567.059   -14503.592 
   13600    23.473405   -835954.74   -14710.744   -14637.217    -14590.08 
   13700    23.387714   -835986.72   -14772.751   -14688.852   -14627.037 
   13800    23.315507   -836021.66   -14808.369   -14750.691   -14666.798 
   13900    23.184826   -836049.05   -14877.846   -14783.921   -14726.625 
   14000    22.902208   -836077.43   -14896.341   -14834.849   -14772.138 
   14100    22.842068   -836109.66   -14935.892   -14889.964   -14813.945 
   14200    22.828903   -836141.64   -15017.471   -14957.729   -14860.813 
   14300    22.693648   -836171.64   -15032.464   -15004.843   -14930.794 
   14400    22.539419   -836199.76   -15081.976   -15027.044   -14950.211 
   14500    22.418306   -836230.39   -15143.786   -15060.704   -15001.067 
   14600    22.332043   -836262.85   -15220.171    -15134.51   -15089.792 
   14700      22.2064   -836292.51   -15222.699   -15211.201   -15130.189 
   14800    22.115904   -836322.46   -15274.461   -15244.556   -15179.239 
   14900    22.080817   -836354.32   -15354.897   -15278.394   -15202.098 
   15000      22.0811   -836386.98   -15372.695   -15356.128    -15249.27 
   15100    21.979237   -836416.73   -15466.024   -15388.336   -15347.144 
   15200    21.829802   -836443.18   -15511.305    -15446.72   -15361.672 
   15300    21.717754    -836472.1   -15562.861   -15520.417   -15415.182 
   15400    21.708333   -836501.02   -15587.708   -15564.678   -15471.838 
   15500    21.607258   -836529.93   -15664.235   -15586.432    -15526.26 
   15600    21.445851   -836556.34   -15727.641   -15648.464   -15554.285 
   15700    21.323117   -836583.32   -15720.764   -15675.364   -15597.423 
   15800    21.198851    -836609.3   -15793.764   -15710.597   -15640.221 
   15900    21.128947   -836635.43   -15849.365   -15730.716   -15677.753 
   16000    21.033046   -836664.54   -15863.649   -15800.647   -15758.572 
   16100    20.961856   -836691.48    -15936.45   -15834.402   -15830.887 
   16200    20.948025    -836720.6   -15970.537   -15865.716    -15846.16 
   16300    20.776508    -836748.1   -15988.774   -15930.247   -15913.571 
   16400    20.690343   -836774.11    -16062.25   -15983.845   -15956.638 
   16500    20.587586   -836799.61   -16083.165   -16002.404   -15990.657 
   16600     20.53619   -836826.44   -16101.137   -16061.855   -16070.075 
   16700    20.424326   -836852.17    -16172.18   -16086.973   -16047.941 
   16800     20.30944   -836875.09   -16200.256   -16144.822   -16128.705 
   16900    20.210652   -836898.59   -16242.661   -16175.091   -16145.513 
   17000    20.115448   -836923.62   -16257.831   -16225.981   -16202.316 
   17100    20.003818   -836948.25   -16294.822   -16278.418   -16237.843 
   17200    19.856545   -836971.79   -16351.797   -16262.733   -16284.792 
   17300    19.721042   -836995.83   -16372.802   -16345.553   -16309.506 
   17400    19.584097   -837018.97   -16430.185   -16351.472   -16350.883 
   17500    19.527852   -837042.14   -16448.217   -16415.275   -16387.701 
   17600    19.418598   -837065.79    -16482.21   -16444.819   -16455.248 
   17700    19.319198   -837090.33   -16557.223   -16485.491   -16476.449 
   17800     19.21237   -837112.87   -16582.418    -16516.21   -16525.846 
   17900    19.151745   -837134.45   -16597.935     -16578.1   -16584.259 
   18000    19.044918   -837156.87   -16654.191    -16617.48   -16600.762 
   18100    18.990026   -837182.85   -16682.854   -16673.962   -16630.118 
   18200    18.878164   -837205.44   -16739.716   -16693.303   -16651.402 
   18300    18.772285   -837228.73   -16772.718   -16724.189   -16744.503 
   18400    18.764079   -837250.91   -16803.505   -16757.971    -16760.83 
   18500    18.648812   -837270.78   -16843.065   -16797.132     -16760.3 
   18600    18.542669   -837294.21   -16914.983   -16812.659   -16829.069 
   18700    18.453441   -837318.63   -16909.677   -16866.345   -16869.072 
   18800    18.322579    -837337.3   -16950.617   -16904.908   -16887.203 
   18900    18.258673   -837357.71   -17009.225   -16921.543   -16937.261 
   19000     18.26486   -837382.41   -17047.709   -16979.786   -17000.435 
   19100    18.182175   -837402.17   -17097.895   -16998.355   -17019.475 
   19200    18.136021   -837424.52   -17124.648   -17022.674   -17061.999 
   19300    18.054697   -837447.05   -17190.409   -17043.715   -17078.521 
   19400    17.962888   -837466.69   -17208.538   -17084.709   -17138.265 
