   0.0000000e+00   1.4883952e-02   1.5117391e-02   1.4815881e-02
   2.6673000e+00   8.1929882e-03   8.2131942e-03   8.7664531e-03
   5.3346000e+00   7.9911310e-03   8.0703054e-03   8.9707804e-03
   8.0019000e+00   8.2413586e-03   8.6767226e-03   9.4516708e-03
   1.0669200e+01   8.5450633e-03   8.9479548e-03   1.0620721e-02
   1.3336500e+01   9.0612984e-03   9.4317873e-03   1.1317752e-02
   1.6003800e+01   9.6495170e-03   9.9711744e-03   1.1355827e-02
   1.8671100e+01   9.9907037e-03   1.0778550e-02   1.1662269e-02
   2.1338400e+01   9.7008948e-03   1.0707480e-02   1.2045319e-02
   2.4005700e+01   9.3345973e-03   1.0334911e-02   1.2381333e-02
   2.6673000e+01   9.5366682e-03   9.9265955e-03   1.1583593e-02
   2.9340300e+01   8.8476681e-03   9.3805970e-03   9.9849097e-03
   3.2007600e+01   8.6148872e-03   8.9729207e-03   9.1183544e-03
   3.4674900e+01   7.7297090e-03   7.4367997e-03   7.6479681e-03
   3.7342200e+01   7.2101976e-03   7.0599034e-03   7.3253249e-03
   4.0009500e+01   6.7878713e-03   7.0527167e-03   6.0025124e-03
   4.2676800e+01   2.4458436e-03   2.2532982e-03   2.1613005e-03
