   0.0000000e+00   1.7605295e-02   1.4254400e-02   1.2688474e-02
   2.6673000e+00   1.0691996e-02   9.0743799e-03   8.7330518e-03
   5.3346000e+00   7.0562359e-03   8.4495258e-03   8.2852231e-03
   8.0019000e+00   7.2029149e-03   8.8540824e-03   9.2738045e-03
   1.0669200e+01   8.5245535e-03   9.3153139e-03   9.6558188e-03
   1.3336500e+01   9.4502444e-03   1.0083572e-02   9.9691898e-03
   1.6003800e+01   9.8385778e-03   1.0416538e-02   1.0787649e-02
   1.8671100e+01   1.0246635e-02   1.0584402e-02   1.0742422e-02
   2.1338400e+01   1.0867376e-02   1.0589730e-02   1.0917000e-02
   2.4005700e+01   1.1109502e-02   1.0536218e-02   1.1223258e-02
   2.6673000e+01   1.0508323e-02   9.9855318e-03   1.0607413e-02
   2.9340300e+01   9.7074898e-03   9.1945879e-03   9.3673978e-03
   3.2007600e+01   8.5615408e-03   8.5743088e-03   8.2904848e-03
   3.4674900e+01   7.8264146e-03   7.5873513e-03   7.6727675e-03
   3.7342200e+01   6.9045928e-03   6.9372114e-03   7.2857112e-03
   4.0009500e+01   5.6860217e-03   6.1363383e-03   6.5385047e-03
   4.2676800e+01   1.4973395e-03   2.1085360e-03   2.2829962e-03
